base_year,base_month,city,emd_cd,emd_nm,sex,resid_reg_pop,foreign_pop,total_pop,base_year_month
2018,1,제주시,50110590,건입동,남성+여성,9800,228,10028,2018년 1월
2018,2,제주시,50110590,건입동,남성+여성,9814,224,10038,2018년 2월
2018,3,제주시,50110590,건입동,남성+여성,9783,222,10005,2018년 3월
2018,4,제주시,50110590,건입동,남성+여성,9788,229,10017,2018년 4월
2018,5,제주시,50110590,건입동,남성+여성,9800,238,10038,2018년 5월
2018,6,제주시,50110590,건입동,남성+여성,9782,249,10031,2018년 6월
2018,7,제주시,50110590,건입동,남성+여성,9775,258,10033,2018년 7월
2018,8,제주시,50110590,건입동,남성+여성,9756,264,10020,2018년 8월
2018,9,제주시,50110590,건입동,남성+여성,9729,263,9992,2018년 9월
2018,10,제주시,50110590,건입동,남성+여성,9702,251,9953,2018년 10월
2018,11,제주시,50110590,건입동,남성+여성,9658,248,9906,2018년 11월
2018,12,제주시,50110590,건입동,남성+여성,9610,247,9857,2018년 12월
2019,1,제주시,50110590,건입동,남성+여성,9506,254,9760,2019년 1월
2019,2,제주시,50110590,건입동,남성+여성,9457,256,9713,2019년 2월
2019,3,제주시,50110590,건입동,남성+여성,9456,255,9711,2019년 3월
2019,4,제주시,50110590,건입동,남성+여성,9463,254,9717,2019년 4월
2019,5,제주시,50110590,건입동,남성+여성,9419,254,9673,2019년 5월
2019,6,제주시,50110590,건입동,남성+여성,9417,259,9676,2019년 6월
2019,7,제주시,50110590,건입동,남성+여성,9408,260,9668,2019년 7월
2019,8,제주시,50110590,건입동,남성+여성,9380,260,9640,2019년 8월
2019,9,제주시,50110590,건입동,남성+여성,9380,263,9643,2019년 9월
2019,10,제주시,50110590,건입동,남성+여성,9359,261,9620,2019년 10월
2019,11,제주시,50110590,건입동,남성+여성,9335,252,9587,2019년 11월
2019,12,제주시,50110590,건입동,남성+여성,9311,260,9571,2019년 12월
2020,1,제주시,50110590,건입동,남성+여성,9230,266,9496,2020년 1월
2020,2,제주시,50110590,건입동,남성+여성,9209,273,9482,2020년 2월
2020,3,제주시,50110590,건입동,남성+여성,9202,263,9465,2020년 3월
2020,4,제주시,50110590,건입동,남성+여성,9170,250,9420,2020년 4월
2020,5,제주시,50110590,건입동,남성+여성,9164,245,9409,2020년 5월
2020,6,제주시,50110590,건입동,남성+여성,9150,246,9396,2020년 6월
2020,7,제주시,50110590,건입동,남성+여성,9136,244,9380,2020년 7월
2020,8,제주시,50110590,건입동,남성+여성,9116,240,9356,2020년 8월
2020,9,제주시,50110590,건입동,남성+여성,9101,235,9336,2020년 9월
2020,10,제주시,50110590,건입동,남성+여성,9110,239,9349,2020년 10월
2020,11,제주시,50110590,건입동,남성+여성,9101,236,9337,2020년 11월
2020,12,제주시,50110590,건입동,남성+여성,9091,234,9325,2020년 12월
2021,1,제주시,50110590,건입동,남성+여성,9042,237,9279,2021년 1월
2021,2,제주시,50110590,건입동,남성+여성,8984,231,9215,2021년 2월
2021,3,제주시,50110590,건입동,남성+여성,8917,231,9148,2021년 3월
2021,4,제주시,50110590,건입동,남성+여성,8922,226,9148,2021년 4월
2021,5,제주시,50110590,건입동,남성+여성,8900,227,9127,2021년 5월
2021,6,제주시,50110590,건입동,남성+여성,8883,227,9110,2021년 6월
2018,1,제주시,50110256,구좌읍,남성+여성,15574,552,16126,2018년 1월
2018,2,제주시,50110256,구좌읍,남성+여성,15610,553,16163,2018년 2월
2018,3,제주시,50110256,구좌읍,남성+여성,15596,552,16148,2018년 3월
