date,temp,rain_per_day,accum_rain,wind,humidity,sunshine,mosquito
2020-06-23,25.61428571,0.014285714,0,1.957142857,58.21428571,21.47714286,2393
2020-08-17,26.94285714,23.77142857,0,2.471428571,85.91428571,9.878571429,3488
2019-06-23,22.55714286,2.028571429,0,1.8,63.1,19.19142857,3499
2018-10-15,12.68571429,1.0,0,1.557142857,57.48571429,13.77142857,724
2015-07-12,26.45714286,4.214285714,29,2.728571429,64.68571429,14.64714286,5818
2017-06-29,25.07142857,4.857142857,0,1.914285714,65.92857143,16.19,6136
2019-07-18,25.05714286,2.1,0,1.442857143,70.75714286,14.07,5144
2020-08-18,27.35714286,9.914285714,0,2.385714286,83.6,11.64571429,3211
2020-05-30,18.47142857,2.285714286,0,2.214285714,71.7,21.92,3183
2015-10-19,17.45714286,0.0,0,1.814285714,65.91428571,12.45714286,2131
2019-08-15,29.11428571,12.21428571,16,1.557142857,70.72857143,15.97,2073
2015-10-06,18.08571429,5.0,0,2.757142857,53.07142857,12.16571429,1902
2018-10-26,13.07142857,2.285714286,11,1.171428571,60.58571429,11.67857143,765
2020-09-26,19.74285714,0.0,0,2.628571429,59.3,18.32571429,3048
2016-07-12,26.35714286,0.428571429,3,1.8,67.74285714,18.97857143,5216
2019-09-02,24.2,8.157142857,0,1.771428571,66.61428571,16.83,2506
2020-06-30,22.7,18.51428571,77,2.7,79.64285714,12.49,2181
2019-07-30,26.85714286,14.08571429,2,2.0,83.2,6.408571429,3068
2015-08-06,27.98571429,2.371428571,0,3.214285714,72.52857143,13.40285714,4832
2019-10-03,22.67142857,3.957142857,28,2.071428571,66.64285714,12.88285714,2445
2017-08-11,28.28571429,1.928571429,6,2.1,71.27142857,14.42285714,3911
2020-06-07,21.68571429,0.371428571,0,2.4,70.3,21.91857143,3564
2020-07-30,24.27142857,7.957142857,50,2.571428571,80.77142857,11.25857143,2143
2015-09-28,22.62857143,0.0,0,1.885714286,50.38571429,14.06428571,3593
2019-10-14,15.97142857,0.0,0,2.2,55.25714286,15.30428571,1135
2015-06-26,23.17142857,8.428571429,15,2.342857143,69.11428571,15.63142857,5243
2015-06-22,23.38571429,8.142857143,0,2.4,68.05714286,17.69142857,4497
2017-07-31,27.35714286,2.214285714,4,1.942857143,70.47142857,13.20142857,5016
2018-08-29,24.82857143,24.35714286,139,1.728571429,78.97142857,8.535714286,2116
2018-07-04,24.51428571,27.22857143,0,1.071428571,83.05714286,12.71285714,2434
2019-05-30,21.12857143,1.014285714,0,2.071428571,50.6,21.12428571,2127
2019-09-21,21.7,0.0,0,2.142857143,52.94285714,16.13142857,2677
2018-07-12,24.11428571,4.928571429,4,1.357142857,70.87142857,13.67285714,2861
2020-08-15,26.34285714,37.32857143,69,2.371428571,89.7,6.515714286,2721
2017-10-18,14.81428571,0.014285714,0,2.05,51.54285714,7.56,2473
2019-10-09,17.81428571,4.371428571,0,2.4,67.14285714,12.35285714,847
2018-10-03,17.54285714,0.0,0,1.657142857,55.45714286,16.53857143,1396
2015-08-01,27.32857143,6.571428571,0,2.785714286,78.9,12.35142857,11746
2017-05-15,17.14285714,1.571428571,0,2.514285714,67.14285714,14.20714286,2047
2016-10-21,17.9,0.214285714,0,1.7,67.02857143,9.995714286,4279
2019-04-18,12.45714286,0.242857143,0,1.928571429,42.44285714,19.07285714,314
2020-09-14,21.81428571,1.728571429,0,2.4,76.68571429,15.41857143,3176
2015-04-08,10.91428571,4.571428571,0,3.257142857,63.54285714,9.927142857,90
2017-07-11,26.24285714,33.28571429,146,1.885714286,81.31428571,10.53,2140
2018-07-11,23.92857143,4.857142857,20,1.314285714,69.5,13.81,2524
2015-10-05,18.57142857,5.0,0,2.814285714,50.08571429,12.45285714,2453
2018-10-07,17.02857143,13.14285714,0,1.814285714,64.65714286,13.36571429,1340
2017-10-08,19.82857143,0.285714286,0,1.914285714,59.7,8.477142857,3672
2018-10-04,17.6,0.0,0,1.657142857,56.72857143,16.19857143,1549
2020-09-24,20.21428571,0.042857143,0,2.642857143,58.54285714,20.20857143,3189
2019-05-19,21.18571429,3.142857143,22,1.557142857,52.07142857,16.64428571,1697
2018-10-12,13.87142857,8.928571429,0,1.714285714,57.57142857,12.86714286,296
2017-06-28,24.94285714,4.857142857,0,1.957142857,64.85714286,16.54285714,6250
2016-05-18,18.78571429,6.857142857,0,2.4,55.21428571,22.87285714,7318
2015-07-25,26.27142857,19.92857143,107,2.128571429,82.9,7.657142857,5340
2020-06-22,25.2,0.014285714,0,2.0,59.57142857,22.58714286,2865
2020-09-23,20.31428571,0.042857143,0,2.414285714,60.07142857,18.89571429,3142
2016-07-21,25.3,7.242857143,0,2.257142857,71.44285714,12.39285714,6285
2019-08-18,27.07142857,11.27142857,0,1.714285714,75.01428571,13.45285714,1935
2017-08-01,27.24285714,2.5,6,1.914285714,71.74285714,12.67857143,3964
2020-09-29,19.98571429,0.0,0,2.542857143,63.28571429,16.81,2921
2019-06-20,21.92857143,2.3,0,1.914285714,65.4,19.51714286,3427
2015-10-23,18.05714286,0.0,0,1.828571429,67.6,10.47285714,2422
2016-09-17,24.1,1.357142857,7,1.842857143,65.94285714,12.24142857,0
2015-06-10,22.71428571,0.142857143,0,2.328571429,51.48571429,17.9,3161
